ilosc budowa szukanie usuwanie
1000 138000 101940 26540
2000 270940 210740 47500
3000 462060 386740 78980
4000 580420 468220 94400
5000 732820 670220 122100
6000 941240 779000 155840
7000 1102180 996240 194720
8000 1288900 1123040 217360
9000 1514720 1317840 238580
10000 1605920 1443220 313120
11000 1899460 1670360 298680
12000 2099700 1973180 387460
13000 3769960 2661860 463300
14000 2488340 2617260 477960
15000 3265080 2748000 488820
